"id_employe","nom","prenom","poste","departement_id","nom_departement","date_embauche","date_depart","statut_au_2026_08_01","salaire","anciennete_annees","cohorte_embauche","score_moyen_total","score_moyen_3_derniers_trimestres","categorie_performance","derniere_evaluation"
"957","Nom_957","Prenom_957","Finance","10","Direction Générale","2019-01-01","2021-09-18","Уволен","4429","2,71","2019","66,92","52,33","Низкая","2024-10-01"
"755","Nom_755","Prenom_755","Finance","5","Marketing","2020-10-19","","Активен","2614","5,78","2020","66,42","53,33","Низкая","2024-10-01"
"1367","Nom_1367","Prenom_1367","Finance","1","Ressources Humaines","2022-03-26","","Активен","2868","4,35","2022","64,33","54","Низкая","2024-10-01"
"431","Nom_431","Prenom_431","RH","3","Informatique","2020-08-29","","Активен","4358","5,92","2020","69,08","54,33","Низкая","2024-10-01"
"1240","Nom_1240","Prenom_1240","RH","1","Ressources Humaines","2020-10-15","2023-09-21","Уволен","2142","2,93","2020","69,83","54,33","Низкая","2024-10-01"
"1411","Nom_1411","Prenom_1411","Analyste","1","Ressources Humaines","2021-10-04","","Активен","4540","4,82","2021","69,25","54,33","Низкая","2024-10-01"
"1143","Nom_1143","Prenom_1143","Developpeur","9","Juridique","2021-03-22","","Активен","2364","5,36","2021","67,58","54,67","Низкая","2024-10-01"
"8","Nom_8","Prenom_8","Finance","9","Juridique","2021-05-21","","Активен","1445","5,2","2021","70,25","54,67","Низкая","2024-10-01"
"10","Nom_10","Prenom_10","Manager","6","Ventes","2019-05-11","","Активен","1520","7,23","2019","68,5","55,33","Низкая","2024-10-01"
"69","Nom_69","Prenom_69","Manager","10","Direction Générale","2020-05-23","","Активен","4284","6,19","2020","72,83","55,67","Низкая","2024-10-01"
"167","Nom_167","Prenom_167","Finance","5","Marketing","2023-04-27","","Активен","4677","3,26","2023","74,67","55,67","Низкая","2024-10-01"
"987","Nom_987","Prenom_987","RH","10","Direction Générale","2020-09-15","","Активен","3375","5,88","2020","69,33","55,67","Низкая","2024-10-01"
"410","Nom_410","Prenom_410","Finance","3","Informatique","2023-03-20","","Активен","852","3,37","2023","67,25","56","Низкая","2024-10-01"
"907","Nom_907","Prenom_907","Manager","4","Data & Analytics","2020-03-25","","Активен","2184","6,35","2020","70,83","56","Низкая","2024-10-01"
"1264","Nom_1264","Prenom_1264","RH","6","Ventes","2021-02-15","","Активен","1294","5,46","2021","67,08","56","Низкая","2024-10-01"
"949","Nom_949","Prenom_949","Manager","9","Juridique","2020-11-07","","Активен","3975","5,73","2020","74,92","56,33","Низкая","2024-10-01"
"439","Nom_439","Prenom_439","Developpeur","3","Informatique","2021-07-16","","Активен","2773","5,04","2021","71","56,33","Низкая","2024-10-01"
"208","Nom_208","Prenom_208","Analyste","4","Data & Analytics","2022-10-03","2023-07-09","Уволен","2475","0,76","2022","72,5","56,33","Низкая","2024-10-01"
"770","Nom_770","Prenom_770","Manager","6","Ventes","2022-11-17","","Активен","2760","3,7","2022","64,92","56,33","Низкая","2024-10-01"
"1358","Nom_1358","Prenom_1358","Finance","3","Informatique","2022-02-15","","Активен","1020","4,46","2022","71,92","56,33","Низкая","2024-10-01"
