"id_employe","nom","prenom","poste","departement_id","nom_departement","date_embauche","date_depart","statut_au_2026_08_01","salaire","anciennete_annees","cohorte_embauche","score_moyen_total","score_moyen_3_derniers_trimestres","categorie_performance","derniere_evaluation"
"253","Nom_253","Prenom_253","Manager","8","Opérations","2019-01-02","","Активен","4778","7,58","2019","68,25","62,33","Средняя","2024-10-01"
"326","Nom_326","Prenom_326","Developpeur","3","Informatique","2019-01-02","","Активен","2840","7,58","2019","76,83","70,67","Средняя","2024-10-01"
"1209","Nom_1209","Prenom_1209","Analyste","6","Ventes","2019-01-04","","Активен","2862","7,57","2019","68,08","68,67","Средняя","2024-10-01"
"519","Nom_519","Prenom_519","Analyste","10","Direction Générale","2019-01-05","","Активен","1829","7,57","2019","77,17","73,33","Средняя","2024-10-01"
"1293","Nom_1293","Prenom_1293","Finance","3","Informatique","2019-01-05","","Активен","1484","7,57","2019","72,92","71","Средняя","2024-10-01"
"1204","Nom_1204","Prenom_1204","Finance","8","Opérations","2019-01-06","","Активен","4066","7,57","2019","70,75","69","Средняя","2024-10-01"
"908","Nom_908","Prenom_908","Finance","6","Ventes","2019-01-10","","Активен","2197","7,56","2019","70,17","66,67","Средняя","2024-10-01"
"1098","Nom_1098","Prenom_1098","Manager","6","Ventes","2019-01-08","","Активен","1529","7,56","2019","73,58","61,67","Средняя","2024-10-01"
"335","Nom_335","Prenom_335","Analyste","1","Ressources Humaines","2019-01-09","","Активен","1449","7,56","2019","83,5","70,33","Средняя","2024-10-01"
"1250","Nom_1250","Prenom_1250","RH","9","Juridique","2019-01-10","","Активен","2341","7,56","2019","74,75","79,67","Средняя","2024-10-01"
"1385","Nom_1385","Prenom_1385","RH","3","Informatique","2019-01-11","","Активен","1587","7,55","2019","72,67","61","Средняя","2024-10-01"
"1255","Nom_1255","Prenom_1255","RH","7","Service Client","2019-01-13","","Активен","1941","7,55","2019","77,5","83,67","Высокая","2024-10-01"
"646","Nom_646","Prenom_646","RH","3","Informatique","2019-01-12","","Активен","2062","7,55","2019","78,08","76","Средняя","2024-10-01"
"57","Nom_57","Prenom_57","Manager","4","Data & Analytics","2019-01-14","","Активен","1896","7,55","2019","74,58","69,67","Средняя","2024-10-01"
"114","Nom_114","Prenom_114","Finance","9","Juridique","2019-01-15","","Активен","1049","7,54","2019","68,42","76,33","Средняя","2024-10-01"
"415","Nom_415","Prenom_415","Analyste","3","Informatique","2019-01-17","","Активен","1205","7,54","2019","74,75","79,67","Средняя","2024-10-01"
"1366","Nom_1366","Prenom_1366","RH","8","Opérations","2019-01-15","","Активен","844","7,54","2019","80,5","94,67","Высокая","2024-10-01"
"444","Nom_444","Prenom_444","Developpeur","9","Juridique","2019-01-18","","Активен","3929","7,53","2019","77,33","71,67","Средняя","2024-10-01"
"479","Nom_479","Prenom_479","RH","8","Opérations","2019-01-20","","Активен","1867","7,53","2019","74,92","80","Высокая","2024-10-01"
"1148","Nom_1148","Prenom_1148","Developpeur","5","Marketing","2019-01-25","","Активен","1070","7,52","2019","71,75","83,67","Высокая","2024-10-01"
"1474","Nom_1474","Prenom_1474","Analyste","10","Direction Générale","2019-01-25","","Активен","3516","7,52","2019","70","70,67","Средняя","2024-10-01"
"1391","Nom_1391","Prenom_1391","Developpeur","2","Finance","2019-01-23","","Активен","4060","7,52","2019","72,25","68,67","Средняя","2024-10-01"
"603","Nom_603","Prenom_603","RH","6","Ventes","2019-01-23","","Активен","4108","7,52","2019","75,17","71,33","Средняя","2024-10-01"
"25","Nom_25","Prenom_25","Developpeur","2","Finance","2019-01-22","","Активен","936","7,52","2019","80,92","80","Высокая","2024-10-01"
"1135","Nom_1135","Prenom_1135","Finance","7","Service Client","2019-01-28","","Активен","1661","7,51","2019","73,42","73","Средняя","2024-10-01"
"397","Nom_397","Prenom_397","Manager","10","Direction Générale","2019-01-27","","Активен","2832","7,51","2019","79,58","82,67","Высокая","2024-10-01"
"1109","Nom_1109","Prenom_1109","Manager","3","Informatique","2019-01-28","","Активен","3375","7,51","2019","71,5","66,33","Средняя","2024-10-01"
"776","Nom_776","Prenom_776","Finance","9","Juridique","2019-01-29","","Активен","2601","7,5","2019","87,33","91","Высокая","2024-10-01"
"71","Nom_71","Prenom_71","RH","3","Informatique","2019-02-04","","Активен","4808","7,49","2019","71,58","81,67","Высокая","2024-10-01"
"652","Nom_652","Prenom_652","RH","2","Finance","2019-02-04","","Активен","3262","7,49","2019","72,17","62,33","Средняя","2024-10-01"
"1159","Nom_1159","Prenom_1159","Analyste","2","Finance","2019-02-03","","Активен","4067","7,49","2019","76,67","79,67","Средняя","2024-10-01"
"477","Nom_477","Prenom_477","Analyste","5","Marketing","2019-02-05","","Активен","2517","7,49","2019","79,17","76,67","Средняя","2024-10-01"
"802","Nom_802","Prenom_802","Manager","8","Opérations","2019-02-08","","Активен","816","7,48","2019","78","73,67","Средняя","2024-10-01"
"390","Nom_390","Prenom_390","Analyste","9","Juridique","2019-02-07","","Активен","4579","7,48","2019","77,67","80,67","Высокая","2024-10-01"
"693","Nom_693","Prenom_693","Analyste","4","Data & Analytics","2019-02-06","","Активен","3006","7,48","2019","80,25","81,33","Высокая","2024-10-01"
"134","Nom_134","Prenom_134","Manager","5","Marketing","2019-02-10","","Активен","3248","7,47","2019","73,42","68","Средняя","2024-10-01"
"1040","Nom_1040","Prenom_1040","Finance","2","Finance","2019-02-12","","Активен","1175","7,47","2019","70,08","57,33","Низкая","2024-10-01"
"885","Nom_885","Prenom_885","Developpeur","7","Service Client","2019-02-10","","Активен","4592","7,47","2019","68,92","65,67","Средняя","2024-10-01"
"1084","Nom_1084","Prenom_1084","Finance","3","Informatique","2019-02-16","","Активен","2672","7,46","2019","76,33","87,67","Высокая","2024-10-01"
"850","Nom_850","Prenom_850","Finance","6","Ventes","2019-02-16","","Активен","2678","7,46","2019","72,67","83,33","Высокая","2024-10-01"
"1371","Nom_1371","Prenom_1371","RH","2","Finance","2019-02-16","","Активен","1833","7,46","2019","73,17","71,33","Средняя","2024-10-01"
"1092","Nom_1092","Prenom_1092","RH","7","Service Client","2019-02-17","","Активен","2011","7,45","2019","74,08","73,33","Средняя","2024-10-01"
"1422","Nom_1422","Prenom_1422","Manager","8","Opérations","2019-02-20","","Активен","1531","7,44","2019","81,58","76,67","Средняя","2024-10-01"
"344","Nom_344","Prenom_344","RH","9","Juridique","2019-02-23","","Активен","4387","7,44","2019","68,33","70","Средняя","2024-10-01"
"958","Nom_958","Prenom_958","Analyste","6","Ventes","2019-02-20","","Активен","4272","7,44","2019","80,08","72,33","Средняя","2024-10-01"
"494","Nom_494","Prenom_494","Finance","5","Marketing","2019-02-20","","Активен","3462","7,44","2019","70,83","68,67","Средняя","2024-10-01"
"1035","Nom_1035","Prenom_1035","RH","5","Marketing","2019-02-22","","Активен","2707","7,44","2019","72","80,33","Высокая","2024-10-01"
"1105","Nom_1105","Prenom_1105","Manager","7","Service Client","2019-02-25","","Активен","1555","7,43","2019","73,33","71,33","Средняя","2024-10-01"
"831","Nom_831","Prenom_831","RH","4","Data & Analytics","2019-02-27","","Активен","844","7,43","2019","72,5","71,33","Средняя","2024-10-01"
"1060","Nom_1060","Prenom_1060","RH","7","Service Client","2019-03-02","","Активен","4219","7,42","2019","77","88","Высокая","2024-10-01"
"1481","Nom_1481","Prenom_1481","Manager","5","Marketing","2019-03-04","","Активен","3130","7,41","2019","80,33","84,33","Высокая","2024-10-01"
"927","Nom_927","Prenom_927","Analyste","10","Direction Générale","2019-03-04","","Активен","3460","7,41","2019","68,75","71,33","Средняя","2024-10-01"
"704","Nom_704","Prenom_704","Manager","2","Finance","2019-03-03","","Активен","4866","7,41","2019","72","59,67","Низкая","2024-10-01"
"1151","Nom_1151","Prenom_1151","Finance","1","Ressources Humaines","2019-03-08","","Активен","1073","7,4","2019","72","71,67","Средняя","2024-10-01"
"1383","Nom_1383","Prenom_1383","Developpeur","8","Opérations","2019-03-10","","Активен","942","7,39","2019","75,67","65,67","Средняя","2024-10-01"
"995","Nom_995","Prenom_995","Developpeur","3","Informatique","2019-03-16","","Активен","4796","7,38","2019","77,58","77,33","Средняя","2024-10-01"
"1459","Nom_1459","Prenom_1459","Manager","1","Ressources Humaines","2019-03-16","","Активен","3997","7,38","2019","80,67","68,67","Средняя","2024-10-01"
"716","Nom_716","Prenom_716","RH","2","Finance","2019-03-17","","Активен","2457","7,38","2019","80","68","Средняя","2024-10-01"
"1208","Nom_1208","Prenom_1208","Finance","5","Marketing","2019-03-16","","Активен","1816","7,38","2019","66,25","69,33","Средняя","2024-10-01"
"1296","Nom_1296","Prenom_1296","Manager","10","Direction Générale","2019-03-19","","Активен","2262","7,37","2019","71","66,33","Средняя","2024-10-01"
"952","Nom_952","Prenom_952","RH","7","Service Client","2019-03-24","","Активен","4589","7,36","2019","69,42","70,33","Средняя","2024-10-01"
"1021","Nom_1021","Prenom_1021","Developpeur","5","Marketing","2019-03-22","","Активен","4790","7,36","2019","71,33","71,67","Средняя","2024-10-01"
"838","Nom_838","Prenom_838","Developpeur","1","Ressources Humaines","2019-03-21","","Активен","1491","7,36","2019","74,75","86","Высокая","2024-10-01"
"1140","Nom_1140","Prenom_1140","Finance","1","Ressources Humaines","2019-03-27","","Активен","1204","7,35","2019","71,5","74,33","Средняя","2024-10-01"
"655","Nom_655","Prenom_655","Developpeur","7","Service Client","2019-03-31","","Активен","3522","7,34","2019","68,42","76,33","Средняя","2024-10-01"
"1303","Nom_1303","Prenom_1303","Finance","4","Data & Analytics","2019-03-30","","Активен","4360","7,34","2019","81,5","82,33","Высокая","2024-10-01"
"1239","Nom_1239","Prenom_1239","Analyste","5","Marketing","2019-03-31","","Активен","4315","7,34","2019","75,67","68","Средняя","2024-10-01"
"5","Nom_5","Prenom_5","Manager","5","Marketing","2019-03-29","","Активен","4487","7,34","2019","73,33","62","Средняя","2024-10-01"
"64","Nom_64","Prenom_64","Finance","9","Juridique","2019-04-02","","Активен","3346","7,33","2019","78,08","82,67","Высокая","2024-10-01"
"1058","Nom_1058","Prenom_1058","Manager","5","Marketing","2019-04-03","","Активен","1165","7,33","2019","69,58","81","Высокая","2024-10-01"
