"id_employe","nom","prenom","poste","departement_id","nom_departement","date_embauche","date_depart","statut_au_2026_08_01","salaire","anciennete_annees","cohorte_embauche","score_moyen_total","score_moyen_3_derniers_trimestres","categorie_performance","derniere_evaluation"
"1","Nom_1","Prenom_1","Analyste","9","Juridique","2020-04-11","","Активен","3500","6,31","2020","65,92","68,33","Средняя","2024-10-01"
"2","Nom_2","Prenom_2","Finance","9","Juridique","2022-05-23","","Активен","4429","4,19","2022","77","59,33","Низкая","2024-10-01"
"3","Nom_3","Prenom_3","Manager","1","Ressources Humaines","2019-11-27","","Активен","2447","6,68","2019","68,33","61,67","Средняя","2024-10-01"
"4","Nom_4","Prenom_4","Manager","2","Finance","2023-01-22","","Активен","4118","3,52","2023","71,08","74","Средняя","2024-10-01"
"5","Nom_5","Prenom_5","Manager","5","Marketing","2019-03-29","","Активен","4487","7,34","2019","73,33","62","Средняя","2024-10-01"
"7","Nom_7","Prenom_7","Analyste","10","Direction Générale","2022-01-28","","Активен","1284","4,51","2022","79,33","73","Средняя","2024-10-01"
"8","Nom_8","Prenom_8","Finance","9","Juridique","2021-05-21","","Активен","1445","5,2","2021","70,25","54,67","Низкая","2024-10-01"
"9","Nom_9","Prenom_9","Finance","7","Service Client","2023-08-15","","Активен","3889","2,96","2023","74","66,33","Средняя","2024-10-01"
"10","Nom_10","Prenom_10","Manager","6","Ventes","2019-05-11","","Активен","1520","7,23","2019","68,5","55,33","Низкая","2024-10-01"
"11","Nom_11","Prenom_11","Developpeur","7","Service Client","2023-08-13","","Активен","1298","2,97","2023","72,58","70,67","Средняя","2024-10-01"
"13","Nom_13","Prenom_13","Manager","1","Ressources Humaines","2021-02-08","","Активен","3867","5,48","2021","82,5","82","Высокая","2024-10-01"
"14","Nom_14","Prenom_14","Developpeur","8","Opérations","2019-12-10","","Активен","914","6,64","2019","72,08","75,67","Средняя","2024-10-01"
"15","Nom_15","Prenom_15","Developpeur","2","Finance","2023-02-24","","Активен","3779","3,43","2023","73,83","76,67","Средняя","2024-10-01"
"16","Nom_16","Prenom_16","RH","10","Direction Générale","2022-12-08","","Активен","2536","3,65","2022","74","74","Средняя","2024-10-01"
"17","Nom_17","Prenom_17","Analyste","9","Juridique","2021-03-16","","Активен","4411","5,38","2021","81,25","77","Средняя","2024-10-01"
"18","Nom_18","Prenom_18","Developpeur","7","Service Client","2020-01-21","","Активен","3053","6,53","2020","72,58","82,33","Высокая","2024-10-01"
"19","Nom_19","Prenom_19","Manager","6","Ventes","2022-04-30","","Активен","3094","4,25","2022","78,67","80,67","Высокая","2024-10-01"
"20","Nom_20","Prenom_20","RH","1","Ressources Humaines","2021-08-13","","Активен","4430","4,97","2021","80,17","67,67","Средняя","2024-10-01"
"21","Nom_21","Prenom_21","Analyste","1","Ressources Humaines","2019-10-04","","Активен","946","6,83","2019","72,08","67,33","Средняя","2024-10-01"
"22","Nom_22","Prenom_22","Finance","2","Finance","2022-03-30","","Активен","4782","4,34","2022","76,17","76,67","Средняя","2024-10-01"
"24","Nom_24","Prenom_24","Developpeur","6","Ventes","2022-08-30","","Активен","3210","3,92","2022","77,67","72,67","Средняя","2024-10-01"
"25","Nom_25","Prenom_25","Developpeur","2","Finance","2019-01-22","","Активен","936","7,52","2019","80,92","80","Высокая","2024-10-01"
"26","Nom_26","Prenom_26","Manager","1","Ressources Humaines","2019-09-10","","Активен","4160","6,89","2019","71","72,67","Средняя","2024-10-01"
"27","Nom_27","Prenom_27","Developpeur","10","Direction Générale","2021-01-17","","Активен","3805","5,54","2021","72,92","62,33","Средняя","2024-10-01"
"28","Nom_28","Prenom_28","RH","5","Marketing","2021-05-06","","Активен","4352","5,24","2021","72,33","66,67","Средняя","2024-10-01"
"29","Nom_29","Prenom_29","Analyste","5","Marketing","2023-05-04","","Активен","818","3,24","2023","67,92","82,67","Высокая","2024-10-01"
"30","Nom_30","Prenom_30","RH","2","Finance","2020-04-19","","Активен","3042","6,28","2020","68,42","69,67","Средняя","2024-10-01"
"31","Nom_31","Prenom_31","Developpeur","6","Ventes","2021-12-18","","Активен","1248","4,62","2021","63,25","64","Средняя","2024-10-01"
"32","Nom_32","Prenom_32","Finance","9","Juridique","2020-05-25","","Активен","2748","6,18","2020","73","70,33","Средняя","2024-10-01"
"33","Nom_33","Prenom_33","Analyste","2","Finance","2023-09-02","2028-08-03","Активен","1745","2,91","2023","75,33","76,33","Средняя","2024-10-01"
"34","Nom_34","Prenom_34","Analyste","10","Direction Générale","2023-02-08","2028-03-12","Активен","2720","3,48","2023","69,17","81,67","Высокая","2024-10-01"
"35","Nom_35","Prenom_35","Manager","2","Finance","2020-11-30","","Активен","3777","5,67","2020","73,75","79","Средняя","2024-10-01"
"37","Nom_37","Prenom_37","Finance","7","Service Client","2023-12-12","","Активен","4815","2,64","2023","77,5","81","Высокая","2024-10-01"
"38","Nom_38","Prenom_38","Analyste","6","Ventes","2019-07-09","","Активен","1038","7,06","2019","74,33","71","Средняя","2024-10-01"
"39","Nom_39","Prenom_39","Finance","8","Opérations","2021-08-15","","Активен","1004","4,96","2021","63,83","71,33","Средняя","2024-10-01"
"40","Nom_40","Prenom_40","Manager","8","Opérations","2020-11-17","","Активен","3407","5,7","2020","67,92","73,67","Средняя","2024-10-01"
"41","Nom_41","Prenom_41","Manager","6","Ventes","2021-08-15","","Активен","4188","4,96","2021","79,5","70,33","Средняя","2024-10-01"
"42","Nom_42","Prenom_42","Analyste","10","Direction Générale","2020-07-16","","Активен","3772","6,04","2020","77,08","72","Средняя","2024-10-01"
"43","Nom_43","Prenom_43","RH","3","Informatique","2023-05-10","","Активен","3487","3,23","2023","73,33","76,33","Средняя","2024-10-01"
"44","Nom_44","Prenom_44","Developpeur","3","Informatique","2022-06-21","","Активен","4966","4,11","2022","71,58","65","Средняя","2024-10-01"
"45","Nom_45","Prenom_45","Manager","1","Ressources Humaines","2021-04-11","","Активен","2148","5,31","2021","71,5","69,33","Средняя","2024-10-01"
"46","Nom_46","Prenom_46","Manager","7","Service Client","2023-03-09","","Активен","1616","3,4","2023","77,17","79,67","Средняя","2024-10-01"
"47","Nom_47","Prenom_47","RH","5","Marketing","2022-02-28","","Активен","1620","4,42","2022","74,17","67,67","Средняя","2024-10-01"
"48","Nom_48","Prenom_48","RH","4","Data & Analytics","2023-02-17","","Активен","992","3,45","2023","74,83","74,67","Средняя","2024-10-01"
"49","Nom_49","Prenom_49","Finance","10","Direction Générale","2020-10-08","","Активен","2576","5,81","2020","73,5","77,33","Средняя","2024-10-01"
"51","Nom_51","Prenom_51","Developpeur","4","Data & Analytics","2021-04-20","","Активен","1050","5,28","2021","68,58","61,67","Средняя","2024-10-01"
"52","Nom_52","Prenom_52","Developpeur","6","Ventes","2019-06-16","","Активен","2588","7,13","2019","70,33","71,67","Средняя","2024-10-01"
"53","Nom_53","Prenom_53","Analyste","8","Opérations","2022-07-21","","Активен","4500","4,03","2022","76,75","68","Средняя","2024-10-01"
"55","Nom_55","Prenom_55","Manager","5","Marketing","2020-08-23","","Активен","1967","5,94","2020","70,67","74","Средняя","2024-10-01"
"56","Nom_56","Prenom_56","Finance","6","Ventes","2019-11-12","","Активен","4693","6,72","2019","75,42","68,67","Средняя","2024-10-01"
"57","Nom_57","Prenom_57","Manager","4","Data & Analytics","2019-01-14","","Активен","1896","7,55","2019","74,58","69,67","Средняя","2024-10-01"
"58","Nom_58","Prenom_58","RH","9","Juridique","2019-08-30","","Активен","3479","6,92","2019","71,33","64,33","Средняя","2024-10-01"
"59","Nom_59","Prenom_59","Finance","8","Opérations","2021-02-15","","Активен","2647","5,46","2021","73,75","66","Средняя","2024-10-01"
"60","Nom_60","Prenom_60","RH","10","Direction Générale","2022-10-01","2027-02-11","Активен","4704","3,83","2022","71,5","74,67","Средняя","2024-10-01"
"61","Nom_61","Prenom_61","Developpeur","10","Direction Générale","2020-07-18","","Активен","1304","6,04","2020","73,08","76","Средняя","2024-10-01"
"62","Nom_62","Prenom_62","Developpeur","1","Ressources Humaines","2021-06-16","","Активен","2421","5,13","2021","77,5","80,67","Высокая","2024-10-01"
"63","Nom_63","Prenom_63","Analyste","2","Finance","2022-09-25","","Активен","3272","3,85","2022","73,5","70,33","Средняя","2024-10-01"
"64","Nom_64","Prenom_64","Finance","9","Juridique","2019-04-02","","Активен","3346","7,33","2019","78,08","82,67","Высокая","2024-10-01"
"65","Nom_65","Prenom_65","RH","8","Opérations","2022-10-22","","Активен","2187","3,78","2022","74,25","72,33","Средняя","2024-10-01"
"66","Nom_66","Prenom_66","Manager","3","Informatique","2021-08-13","","Активен","3794","4,97","2021","79","87,33","Высокая","2024-10-01"
