"id_employe","nom","prenom","poste","departement_id","nom_departement","date_embauche","date_depart","statut_au_2026_08_01","salaire","anciennete_annees","cohorte_embauche","score_moyen_total","score_moyen_3_derniers_trimestres","categorie_performance","derniere_evaluation"
"493","Nom_493","Prenom_493","Developpeur","10","Direction Générale","2021-05-03","2023-10-07","Уволен","1682","2,43","2021","77,58","98,33","Высокая","2024-10-01"
"1156","Nom_1156","Prenom_1156","RH","1","Ressources Humaines","2019-08-16","","Активен","1221","6,96","2019","75,75","97,33","Высокая","2024-10-01"
"1009","Nom_1009","Prenom_1009","Analyste","4","Data & Analytics","2020-03-22","","Активен","2299","6,36","2020","85,58","96","Высокая","2024-10-01"
"536","Nom_536","Prenom_536","Finance","6","Ventes","2023-08-21","","Активен","2178","2,95","2023","76,42","95","Высокая","2024-10-01"
"424","Nom_424","Prenom_424","Analyste","8","Opérations","2023-11-04","","Активен","1626","2,74","2023","80,17","95","Высокая","2024-10-01"
"852","Nom_852","Prenom_852","Analyste","5","Marketing","2022-08-21","","Активен","1077","3,95","2022","78,17","94,67","Высокая","2024-10-01"
"1366","Nom_1366","Prenom_1366","RH","8","Opérations","2019-01-15","","Активен","844","7,54","2019","80,5","94,67","Высокая","2024-10-01"
"549","Nom_549","Prenom_549","Analyste","6","Ventes","2022-02-24","","Активен","1336","4,43","2022","82,5","94,67","Высокая","2024-10-01"
"1490","Nom_1490","Prenom_1490","Finance","5","Marketing","2022-01-12","","Активен","1182","4,55","2022","80,83","94,33","Высокая","2024-10-01"
"280","Nom_280","Prenom_280","Analyste","7","Service Client","2021-06-02","","Активен","1941","5,16","2021","79,83","94","Высокая","2024-10-01"
